고유번호,제조사,모델,세부모델,등급,연식,차량가격,복합연비,배기량,최고출력,최대토크,구동방식,승차정원,휠_1,타이어_수정,변속기,연료,차분류,URL
132,현대,그랜저TG,Q270 Premier,모젠팩,2005,3327,9,2656,192,26,FF,5,16,225,오토,가솔린,대형,현대_그랜저TGQ270 Premier.jpg
133,현대,그랜저TG,Q270 Premier,모젠 Smart Pack,2005,3527,9,2656,192,26,FF,5,16,225,오토,가솔린,대형,현대_그랜저TGQ270 Premier.jpg
134,현대,그랜저TG,Q270 Premier,기본형,2005,3201,10,2656,195,26,FF,5,16,235,오토,가솔린,대형,현대_그랜저TGQ270 Premier.jpg
135,현대,그랜저TG,Q270 Premier,기본형,2008,3221,10,2656,195,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저TGQ270 Premier.jpg
136,현대,그랜저TG,Q270 Premier,Smart Pack,2005,3410,10,2656,195,26,FF,5,16,235,오토,가솔린,대형,현대_그랜저TGQ270 Premier.jpg
137,현대,그랜저TG,Q270 Premier,Smart Pack,2008,3430,10,2656,195,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저TGQ270 Premier.jpg
138,현대,그랜저TG,Q270 Premier,40주년 스페셜팩,2005,3329,9,2656,192,26,FF,5,16,225,오토,가솔린,대형,현대_그랜저TGQ270 Premier.jpg
139,한국GM,뉴 다마스 밴,2인승 판넬밴,DLX,2008,863,12,796,43,7,FR,2,12,155,오토,LPG,경차,한국GM_뉴 다마스 밴2인승 판넬밴.jpg
140,르노삼성,뉴 마스터,2.3 디젤,밴 S,2020,2999,11,2299,150,39,FF,3,16,225,오토,디젤,승합,르노삼성_뉴 마스터2.3 디젤.jpg
141,르노삼성,뉴 마스터,2.3 디젤,밴 L,2020,3199,11,2299,150,39,FF,3,16,225,오토,디젤,승합,르노삼성_뉴 마스터2.3 디젤.jpg
142,르노삼성,뉴 마스터,2.3 디젤,13인승,2020,3729,10,2299,163,39,FF,13,16,225,오토,디젤,승합,르노삼성_뉴 마스터2.3 디젤.jpg
143,현대,뉴 투싼 ix,디젤(e-VGT)2WD,스마트,2013,2270,14,1995,184,39,4WD,5,17,225,오토,디젤,SUV,현대_뉴 투싼 ix디젤(e-VGT)2WD.jpg
144,현대,뉴 투싼 ix,디젤(e-VGT)2WD,스마트,2015,2270,14,1995,184,39,4WD,5,17,225,오토,디젤,SUV,현대_뉴 투싼 ix디젤(e-VGT)2WD.jpg
145,현대,뉴 투싼 ix,디젤(e-VGT)2WD,스마트 스페셜,2013,2560,13,1995,184,39,4WD,5,17,225,오토,디젤,SUV,현대_뉴 투싼 ix디젤(e-VGT)2WD.jpg
146,현대,뉴 투싼 ix,디젤(e-VGT)2WD,스마트 스페셜,2015,2605,13,1995,184,39,4WD,5,17,225,오토,디젤,SUV,현대_뉴 투싼 ix디젤(e-VGT)2WD.jpg
147,현대,뉴 투싼 ix,디젤(e-VGT)2WD,모던,2013,2770,13,1995,184,40,4WD,5,18,225,오토,디젤,SUV,현대_뉴 투싼 ix디젤(e-VGT)2WD.jpg
148,현대,뉴 투싼 ix,디젤(e-VGT)2WD,모던,2015,2790,13,1995,184,40,4WD,5,18,225,오토,디젤,SUV,현대_뉴 투싼 ix디젤(e-VGT)2WD.jpg
149,현대,뉴 투싼 ix,디젤(e-VGT)2WD,프리미엄,2013,2930,13,1995,184,40,4WD,5,18,225,오토,디젤,SUV,현대_뉴 투싼 ix디젤(e-VGT)2WD.jpg
150,현대,뉴 투싼 ix,디젤(e-VGT)2WD,월드컵 에디션,2015,2595,13,1995,184,39,4WD,5,17,225,오토,디젤,SUV,현대_뉴 투싼 ix디젤(e-VGT)2WD.jpg
151,르노삼성,뉴 QM3,SE,,2017,2220,17,1461,90,22,FF,5,17,205,오토,디젤,SUV,르노삼성_뉴 QM3SE.jpg
152,르노삼성,뉴 QM3,SE,,2018,2220,17,1461,90,22,FF,5,17,205,오토,디젤,SUV,르노삼성_뉴 QM3SE.jpg
153,르노삼성,뉴 QM3,LE,,2017,2330,17,1461,90,22,FF,5,17,205,오토,디젤,SUV,르노삼성_뉴 QM3LE.jpg
154,르노삼성,뉴 QM3,LE,,2018,2330,17,1461,90,22,FF,5,17,205,오토,디젤,SUV,르노삼성_뉴 QM3LE.jpg
155,르노삼성,뉴 QM3,RE,,2017,2450,17,1461,90,22,FF,5,17,205,오토,디젤,SUV,르노삼성_뉴 QM3RE.jpg
156,르노삼성,뉴 QM3,RE,,2018,2450,17,1461,90,22,FF,5,17,205,오토,디젤,SUV,르노삼성_뉴 QM3RE.jpg
157,르노삼성,뉴 QM3,RE,시그니처,2017,2570,17,1461,90,22,FF,5,17,205,오토,디젤,SUV,르노삼성_뉴 QM3RE.jpg
158,르노삼성,뉴 QM3,RE,시그니처,2018,2570,17,1461,90,22,FF,5,17,205,오토,디젤,SUV,르노삼성_뉴 QM3RE.jpg
159,르노삼성,뉴 QM3,RE,파노라믹 에디션,2018,2495,17,1461,90,22,FF,5,17,205,오토,디젤,SUV,르노삼성_뉴 QM3RE.jpg
